Name	Tier	Activation	Ranked	Text	Source	From	Depreciated
Threaten	2	Active (Incidental, Out of Turn)	Yes	After an adversary within short range of your character resolves a combat check that deals damage to one of your character’s allies, your character may suffer 3 strain to use this talent to inflict a number of strain on the adversary equal to your character’s ranks in Coercion. The range of this talent increases by one band per rank of Threaten beyond the first.	ROT	Threaten	
Time to Go	2	Active (Maneuver)	No	The character may spend 1 Story Point to perform a Move maneuver as an incidental to attempt to move into cover or out of the blast range of a weapon or explosion.	ACRB, DC	Time to Go	
Tinkerer	2	Passive	Yes	May add 1 additional hard point to a number of items equal to ranks in Tinkerer. Each item may only be modified once.	ACRB, ECRB, KTP	Tinkerer	
Touch of Fate	2	Active (Incidental)	No	Once per session, add [BO][BO] to any 1 check.	ACRB, ECRB, FCRB	Touch of Fate	
Unarmed Parry	2	Passive	No	May Parry while unarmed. Reduce strain cost to Parry while unarmed by 1 (to a minimum of 1).	ND	Unarmed Parry	
Uncanny Senses	2	Passive	Yes	Add [BO][BO] per rank of Uncanny Senses to all Perception and Vigilance checks.	ACRB, ECRB, FCRB	Uncanny Senses	
Unstoppable	2	Passive	No	If a Critical Injury roll is 1 or reduced to 1, do not receive the critical injury.	ACRB	Unstoppable	
Vehicle Combat Training	2	Passive	No	Gunnery, Driving, and Piloting become career skills.	ACRB	Vehicle Combat Training	
Well Read	2	Passive	No	Choose any 3 Knowledge skills. They permanently become career skills.	LBE	Well Read	
Well-Travelled	2	Passive	No	Knowledge (Geography), Negotiation, and Vigilance are now career skills for your character.	ROT	Well-Travelled	
Wraithbane	2	Passive	No	Your character counts the Critical rating of their weapon as one lower to a minimum of 1 when making an attack targeting an undead adversary.	ROT	Wraithbane	
Alchemical Arts	3	Active (Incidental)	Yes	After making a check to craft a poison, may suffer Strain up to twice ranks in Alchemical Arts. For every two Strain add [SU][AD] to results.	UP	Alchemical Arts	
Ambush	3	Active (Maneuver)	No	Once per round while benefiting from cover, may make the Ambush maneuver. Add damage equal to Stealth skill to one hit of next successful combat check against a target within short range before the end of the turn.	FIB	Ambush	
Animal Companion	3	Passive	Yes	Your character creates a bond with a single animal approved by your GM. This animal must be silhouette 0 (no larger than a mid-sized dog). The bond persists as long as your character chooses, although at your GM’s discretion, the bond may also be broken due to abusive treatment or other extenuating circumstances. As long as the bond persists, the animal follows your character, and you dictate the animal’s overall behavior (although, since the animal is only bonded with the character, not dominated, it may still perform inconvenient actions such as scratching furniture, consuming rations, and marking territory). Once per round in structured encounters, your character may spend one maneuver to direct their animal in performing one action and one maneuver during your character’s turn. The animal must be within hearing and visual range of your character (generally medium range) to do this. Otherwise, the animal does not contribute to the encounter. The specifics of its behavior are up to you and your GM. For every additional rank of Animal Companion your character has, increase the allowed silhouette of the companion by one (this may mean your character gets a new companion, or their companion grows in size). This talent can also change in flavor depending on the nature of your game setting. While an animal companion may make sense in many settings, in a futuristic setting it may make more sense for the “animal” to be a robot or drone, for example.	GCRB	Animal Companion	
Armor Master	3	Passive	No	When wearing armor, Increase total soak value by 1.	ACRB, EBGR, ECRB, KTP	Armor Master	
Backstab	3	Active (Action)	No	Your character may use this talent to attack an unaware adversary using a Melee (Light) weapon. A Backstab is a melee attack, and follows the normal rules for performing a combat check (see page 101 of the Genesys Core Rulebook), using the character’s Skullduggery skill instead of Melee (Light). If the check succeeds, each uncanceled [SU] adds +2 damage (instead of the normal +1).	ROT	Backstab	
Bad Press	3	Active (Action)	No	Once per session, choose an organization and make a Hard (◆◆◆) Deception check. On success, organization members have their strain thresholds reduced by 1, plus 1 per [SU][SU][SU], until the end of the session. When he does this, the player must explain how the PC disseminated the propaganda such that it has affected his targets. The chosen organization must be narrow and cohesive enough to be affected by bad publicity.	DA	Bad Press	
Barrel Roll	3	Active (Incidental, Out of Turn)	No	Your character can only use this talent while piloting a starfighter or airplane of Silhouette 3 or less. When your vehicle suffers a hit from a ranged combat check, after damage is calculated but before armor is applied, your character may have their vehicle suffer 3 system strain to use this talent. Then, reduce the damage suffered by a number equal to their ranks in Piloting.	GCRB	Barrel Roll	
Battle Casting	3	Passive	No	Your character does not add [SE] to magic skill checks for wearing heavy armor (armor with +2 soak or higher), using a shield, or not having at least one hand free (see Table III.2–3: Penalties When Casting Spells, on page 210 of the Genesys Core Rulebook).	ROT	Battle Casting	
Blind Spot	3	Passive	No	Your character, and allies within short range, add automatic [AD] to combat checks they make while benefiting from cover.	FIB, KTP	Blind Spot	
Blooded (Improved)	3	Active (Action)	Yes	As an action, make a Hard (◆◆◆) Resilience check to immediately recover from all poisons and side effects of drugs. Reduce difficulty once per rank of Blooded.	UP	Blooded (Improved)	
Body Guard	3	Active (Maneuver)	Yes	Once per round, your character may suffer a number of strain no greater than their ranks in Body Guard to use this talent. Choose one ally engaged with your character; until the end of your character’s next turn, upgrade the difficulty of all combat checks targeting that ally a number of times equal to the strain suffered.	ROT	Body Guard	
Capital Sendoff	3	Active (Action)	No	Take a Capital Sendoff action targeting two ships or vehicles at Close range; make a Hard (◆◆◆) Cool check to cause the targets to suffer a minor collision.	SOT	Corellian Sendoff	
Cavalier	3	Active (Maneuver)	No	While riding a mount trained for battle (typically a war mount [see page 105] or flying mount [see page 104]), once per round your character may use this talent to direct the mount to perform an action.	ROT	Cavalier	
Center of Being	3	Active (Maneuver)	Yes	While wielding a weapon with the Defensive quality, your character may perform a Center of Being maneuver. Until the beginning of your character's next turn, whenever an enemy makes a melee attack targeting them, the critical rating of the enemy's weapon counts as 1 higher per rank of Center of Being.	FCRB	Center of Being	
Combat Veteran	3	Passive	No	Add [BO] to Brawl and Discipline checks.	DOR	Combat Veteran	
Confidence (Improved)	3	Passive	No	Your character must have purchased the Confidence talent to benefit from this talent. May spend [AD] on a fear check to steady the nerves of allies making the same fear check. If the character does so each ally within short range who makes the fear check adds automatic successes equal to the character's rank in confidence.	LBE	Confidence (Improved)	
Congenial	3	Active (Incidental)	Yes	May suffer a number of strain to downgrade difficulty of Charm or Negotiation checks or upgrade difficulty when target by Charm or Negotiation checks, by an equal number Strain suffered this way cannot exceed ranks in Congenial.	FH, FC, DOH	Congenial	
Constant Vigilance	3	Passive	No	May always use Vigilance when making checks to determine initiative.	EV	Constant Vigilance	
Counterattack	3	Active (Incidental, Out of Turn)	No	Your character must have purchased the Parry (Improved) talent to benefit from this talent. When your character uses the Parry (Improved) talent to hit an attacker, they may also activate an item quality of the weapon they used as if they had generated [AD][AD] on a combat check using that weapon.	ROT	Counterattack
Creative Killer	3	Passive	No	Reduce the crit rating of improvised weapons by 2 (to a minimum of 1).	ACRB	Creative Killer	
Cunning Snare	3	Active (Action)	No	Once per encounter as an action, may create a trap. Any other character who moves to engaged range of the trap must make an Opposed Vigilance vs. Survival check to avoid harm and ill effects.	FIB	Cunning Snare	
Customized Cooling Unit	3	Passive	Yes	Your character must have purchased the Signature Vehicle talent to benefit from this talent. Increase the system strain threshold of Signature Vehicle by 2 per rank of Customized Cooling Unit.	SOT	Customized Cooling Unit	
Daring Turn	3	Active (Maneuver)	No	When an opponent has gained the advantage on a starship or vehicle being piloted, may spent 2 strain perform a Daring Turn maneuver to remove the effects.	SOT	Koiogran Turn	
Disarm	3	Passive	No	May spend [TR] or [AD][AD] with a successful Brawl or Melee check to disarm opponent.	FCRB	Sum Djem	
Disarming Smile	3	Active (Action)	Yes	Take the Disarming Smile action; succeed at an opposed Charm check against a target within short range to lower all defenses of a target by ranks in Disarming Smile until the end of the encounter.	FC	Disarming Smile	
Dissonance	3	Active (Action)	No	While wielding a musical instrument, your character may use this talent to make an Average (◆◆) Charm or Verse check. For each S the check generates, one enemy of the player’s choosing within medium range suffers 1 wound. For each A, one enemy affected by Dissonance suffers 1 additional wound.	ROT	Dissonance	
Distinctive Style	3	Active (Incidental)	No	When making a Computers check to hack a system or break into a secured network, before rolling, your character may use this talent to add [SU][SU][TH][TH] to the results. If you are using the optional hacking rules on page 232 and your check generates [TH][TH], your GM should spend it on the I Know You! option in Table III.2-22 on page 234 of the Genesys Core Rulebook.	GCRB	Distinctive Style	
Dockyard Expertise	3	Active (Action)	Yes	Your character may make an Average (◆◆) Knowledge check when at a dry dock with suitable personnel and equipment to conduct repairs to a ship, or to add attachments or modifications to one. If successful, the cost and time for repairs is reduced by 20% for each rank of Dockyard Expertise to a minimum of 100 units of currency and one day.	FO	Dockyard Expertise	
Dodge	3	Active (Incidental, Out of Turn)	Yes	When your character is targeted by a combat check (ranged or melee), they may suffer a number of strain no greater than their ranks in Dodge to use this talent. Then, upgrade the difficulty of the combat check targeting your character a number of times equal to the strain suffered.	GCRB	Dodge	
Double or Nothing	3	Passive	No	Suffer 2 strain to perform the Double or Nothing incidental to increase the difficulty of the next check by one. Then, after canceling opposing symbols, double the amount of remaining [AD]	FC	Double or Nothing	
Dual Strike	3	Active (Incidental)	No	When resolving a combined check to attack with two weapons in a melee combat, your character may suffer 2 strain to use this talent to hit with the secondary weapon (instead of spending [AD][AD]).	ROT	Dual Strike	
Eagle Eyes	3	Active (Incidental)	No	Once per encounter before making a ranged combat check, you may use this talent to increase your weapon’s range by one range band (to a maximum of extreme range). This lasts for the duration of the combat check.	GCRB	Eagle Eyes	
Easy Prey	3	Active (Maneuver)	No	Your character may suffer 3 strain to use this talent. Until the start of your character’s next turn, your character and allies within short range add [BO][BO] to combat checks against immobilized targets.	ROT	Easy Prey	
Encoded Communique	3	Passive	No	Upgrade the difficulty of checks to decrypt this character's coded messages without the proper cipher a number of times equal to Computers skill.	DA	Encoded Communique	
Encouraging Words	3	Active (Incidental, Out of Turn)	No	After an engaged ally fails a check, may suffer 1 strain to assist that ally's next check this encounter as an out of turn incidental.	DA, LBE, DOH	Encouraging Words	
Extended Reach	3	Active (Incidental)	No	While armed with a two-handed melee weapon (or Melee (Heavy) weapon), suffer 1 strain to make a Melee combat check with that weapon targeting an enemy at up to short range (rather than engaged range).	DOR	Extended Reach	
Eye for Detail	3	Active (Incidental)	Yes	After making a Mechanics or Computers check, may suffer strain up to ranks in Eye for Detail to convert that many [SU] to [AD].	SM	Eye for Detail	
Fear the Shadows	3	Active (Action)	No	Once per session, may make a Hard (◆◆◆) Deception check to force a single minion group or rival to flee the encounter.	EV	Fear the Shadows	
Fearsome Rep	3	Passive	Yes	Add [AD] to results of Coercion checks equal to ranks in Fearsome Rep.	DOR	Fearsome Rep	
Feint	3	Passive	Yes	Spend [TR] or [AD][AD][AD] generated on a missed melee attack to upgrade difficulty of opponent's next attack targeting character by ranks in Feint.	FCRB	Feint	
Feral Strength	3	Passive	Yes	Add 1 damage per rank of Feral Strength to one hit of successful attacks made using Brawl or Melee skills.	ABGR, ACRB, EBGR, ECRB	Feral Strength	
Field Commander	3	Active (Action)	No	Your character may use this talent to make an Average (◆◆) Leadership check. If successful, a number of allies equal to your character’s Presence may immediately suffer 1 strain to perform one maneuver (out of turn). If there are any questions as to which allies take their maneuvers first, your character is the final arbiter.	GCRB	Field Commander	
Fire Control	3	Active (Maneuver)	No	Take the Fire Control maneuver; all combat checks made from current starship or vehicle count their target's silhouette as one higher than normal until the beginning of next turn.	ACRB	Fire Control	
Forgot to Count?	3	Active (Incidental, Out of Turn)	No	When an opponent makes a ranged combat check, you can spend [TH][TH] from that check to use this talent to cause their weapon to run out of ammo (see page 104), as long as the weapon can normally run out of ammunition.	GCRB	Forgot to Count?	
Form On Me	3	Passive	No	Allies equal to ranks in Leadership in short range gain the benefits of the Gain the Advantage action.	ACRB	Form On Me	
Formation Tactics	3	Active (Action)	No	Make a Hard (◆◆◆) Leadership check. If successful, choose a number of allies within short range equal to [SU] generated. Upgrade the difficulty of attacks against these allies once until the end of your character's next turn.	DOR	Formation Tactics	
Fortified Structure	3	Passive	Yes	Your character must have purchased the Signature Vehicle talent to benefit from this talent. Increase the hull trauma threshold of Signature Vehicle by 1 per rank of Fortified Structure.	SOT	Fortified Vacuum Seal	
Freerunning (Improved)	3	Active (Incidental)	No	Your character must have purchased the Freerunning talent to benefit from this talent. Suffer 4 strain when making a move maneuver to move to any location within medium range.	EV	Freerunning (Improved)	
Frenzied Attack	3	Active (Incidental)	Yes	When making a Melee or Brawl check, suffer a number of strain to upgrade the attack an equal number of times. The strain suffered may not exceed ranks in Frenzied Attack.	ACRB, ECRB	Frenzied Attack	
Full Throttle	3	Active (Action)	No	While driving or flying, your character may use this talent to make a Hard (◆◆◆) Piloting or Driving check. If successful, the top speed of the vehicle increases by one (to a maximum of 5) for a number of rounds equal to your character’s Cunning. The specifics of this talent require the optional vehicle rules, on page 220. If your game does not use these rules, this talent simply makes the vehicle go much faster than normal, with the specifics up to your GM.	GCRB	Full Throttle	
Greased Palms	3	Active (Maneuver)	Yes	Before making a social check, may spend up to 50 units of currency per rank of Greased Palms to upgrade the ability of the check once for every 50 spent.	ACRB, JOY, FH	Greased Palms	
Grenadier	3	Active (Incidental)	Yes	When your character makes a ranged combat check with a weapon that has the Blast item quality, you may spend one Story Point to use this talent to trigger the weapon’s Blast quality, instead of spending [AD] (even if the attack misses). In addition, your character treats grenades as having a range of medium.	GCRB	Grenadier	
Harass	3	Active (Incidental)	No	Whenever the character's animal companion makes a successful combat check against a target, it may forgo inflicting damage to upgrade the difficulty of the target's next check once instead.	SS	Harass	
Hard-Boiled	3	Passive	Yes	When recovering strain after an encounter, may spend [AD] up to ranks in Hard-Boiled to recover 1 wound per [AD] spent.	ND	Hard-Boiled	
Heroic Resilience	3	Active (Incidental)	Yes	Immediately after being hit by an attack but before suffering damage, spend 1 Story Point to increase soak by ranks in Resilience.	FIB, DC	Heroic Resilience	
Heroic Will	3	Active (Incidental, Out of Turn)	No	When you purchase this talent for your character, choose two characteristics. You may spend a Story Point to use this talent to have your character ignore the effects of all Critical Injuries on any skill checks using those two characteristics until the end of the current encounter. (Your character still suffers the Critical Injuries; they just ignore the effects. See page 114.)	GCRB	Heroic Will	
Hindering Shot	3	Active (Incidental)	Yes	Spend a story point and increase the difficulty of next Gunnery check by 1. If check deals damage, target starship or vehicle suffers system strain equal to speed when it moves for a number of turns equal to ranks in Hindering Shot.	ND	Hindering Shot	
Hunter's Quarry (Improved)	3	Passive	No	Your character must have purchased the Hunter's Quarry talent to benefit from this talent. Suffer 2 strain to perform Hunter's Quarry action as a maneuver	ETU, SS	Hunter's Quarry (Improved)	
Informant	3	Active (Incidental)	No	Once per session, may reveal a contact who can shed light on a chosen subject.	DA, ND	Informant	
Inspiring Rhetoric (Improved)	3	Passive	No	Your character must have purchased the Inspiring Rhetoric talent to benefit from this talent. Allies affected by your character’s Inspiring Rhetoric add [BO] to all skill checks they make for a number of rounds equal to your character’s ranks in Leadership.	GCRB	Inspiring Rhetoric (Improved)	
Interjection	3	Active (Incidental, Out of Turn)	No	After another character makes a social check, suffer 3 strain to take an interjection incidental make an Average (◆◆) Vigilance check to add [SU] or [FA] equal to [SU], and [AD] or [TH] equal to [AD] to the check.	DA	Interjection	
Intimidating	3	Active (Incidental, Out of Turn)	Yes	May suffer a number of strain to downgrade difficulty of Coercion checks, or upgrade difficulty when targeted by Coercion checks, by an equal number. Strain suffered this way cannot exceed ranks in Intimidating.	ACRB, ECRB, FBGR, FCRB	Intimidating	
Iron Body	3	Passive	Yes	Remove [SE] per rank of Iron Body from Coordination and Resilience checks. Reduce the critical rating of unarmed attacks by 1 per rank of Iron Body (to a minimum of 1).	ND	Iron Body	
Justice of the Citadel	3	Active (Incidental)	No	Once per round on your character’s turn, your character may suffer 3 strain to use this talent to add damage equal to their ranks in Discipline to one hit of a successful melee attack.	ROT	Justice of the Citadel	
Larger Project	3	Passive	Yes	Your character must have purchased the Signature Vehicle talent to benefit from this talent. Signature Vehicle can have a silhouette 1 larger per rank of Larger Project	SOT, SM	Larger Project	
Lethal Blows	3	Passive	Yes	Add +10 per rank of Lethal Blows to any Critical Injury results inflicted on opponents.	ACRB, ECRB, SS	Lethal Blows	
Natural	3	Active (Incidental)	No	When your character purchases this talent, choose two skills. Once per session, your character may use this talent to reroll one skill check that uses one of those two skills.	GCRB	Natural	
No Escape	3	Passive	No	May spend [AD][AD] from a Coercion check or [TH][TH] from a foe's Discipline check; that target cannot perform a free maneuver during his next turn.	KTP	No Escape	
Nobody's Fool	3	Passive	Yes	May upgrade difficulty of incoming Charm, Coercion, or Deception checks once per rank of Nobody's Fool.	ACRB, ECRB, FCRB	Nobody's Fool	
Opportunist	3	Active (Incidental)	Yes	When your character purchases this talent, choose one non-combat, non-magic skill. When you roll a check using this skill, you may suffer strain up to ranks in Opportunist to convert that many [SU] into [AD].	SM	Eye for Detail	
Outside the Box	3	Passive	No	Choose one characteristic when purchasing this talent. Once per session, make one skill check using that characteristic rather than the characteristic linked to that skill.	ACRB	Stroke of Genius	
Overwhelm Defenses	3	Active (Incidental)	Yes	Upon unsuccessful attack with a starship or vehicle weapon, may spend [AD][AD] per rank of Overwhelm Defenses. Reduce the defense in the targeted zone by 1 for every [AD][AD] spent.	ACRB, ND	Overwhelm Defenses	
Painkiller Specialization	3	Passive	Yes	When your character uses painkillers (or their equivalent, depending on the setting), the target heals one additional wound per rank of Painkiller Specialization. The sixth painkiller and beyond each day still has no effect.	GCRB	Painkiller Specialization	
Parry (Improved)	3	Active (Incidental, Out of Turn)	No	Your character must have purchased the Parry talent to benefit from this talent. When your character suffers a hit from a melee combat check and uses Parry to reduce the damage from that hit, after the attack is resolved, you may spend [DE] or [TH][TH][TH] from the attacker’s check to use this talent. Then, your character automatically hits the attacker once with a Brawl or Melee weapon your character is wielding. The hit deals the weapon’s base damage, plus any damage from applicable talents or abilities. Your character can’t use this talent if the original attack incapacitates them.	GCRB	Parry (Improved)	
Pin	3	Active (Action)	No	Take Pin action; make an opposed athletics check to immobilize an engaged opponent until the end of the character's next turn. Spend [TR] to extend duration one round.	ETU	Pin	
Plausible Deniability	3	Active (Action)	No	Take a Plausible Deniability action makes a Hard (◆◆◆) Coercion check to convince one bystander equal to your Willpower to depart quietly.	DA	Plausible Deniability (Improved)	
Point Blank	3	Passive	Yes	Add 1 damage per rank of Point Blank to damage of one hit of successful attack while using Ranged (Heavy) or Ranged (Light) skills at short range or engaged.	ABGR, ACRB, EBGR, ECRB	Point Blank	
Potent Concoctions	3	Passive	No	When your character makes an Alchemy check that generates [TR], roll an additional YELLOW DIE and add its results to the pool, in addition to spending the [TR] normally. When your character makes an Alchemy check that generates [DE], roll an additional RED DIE and add its results to the pool, in addition to spending the [DE] normally. Each of these effects can occur only once per check.	ROT	Potent Concoctions	
Powerful Blast	3	Passive	Yes	Increase Blast damage dealt by +1 per rank of Powerful Blast.	ACRB, DC	Powerful Blast	
Precise Archery	3	Passive	No	When making a Ranged combat check targeting a character engaged with one of your character's allies, downgrade the difficulty of the check once (thus negating the penalty for shooting at engaged targets).	ROT	Precise Archery	
Preemptive Avoidance	3	Active (Incidental, Out of Turn)	No	May spend 1 Story Point to disengage from engaged enemy as an out-of-turn incidental.	FCRB	Preemptive Avoidance	
Pressure Point	3	Active (Incidental)	No	When your character makes an unarmed Brawl check targeting a living opponent, they may use this talent to deal strain damage instead of wound damage, and inflict additional strain damage equal to their ranks in Medicine.	ROT	Pressure Point	
Pride and Joy (Improved)	3	Passive	No	While inside your character's Pride and Joy, recover +1 strain whenever recovering strain and spend [AD] on checks made to recover strain to allow an ally also within the vehicle to recover 1 strain.	DOR	Pride and Joy (Improved)	
Rapid Archery	3	Active (Maneuver)	No	While your character is armed with a bow (or similar weapon, at your GM’s discretion) they may suffer 2 strain to use this talent. During the next ranged combat check your character makes this turn, the bow gains the Linked quality with a value equal to their ranks in the Ranged skill.	GCRB	Rapid Archery	
Reflect (Improved)	3	Active (Incidental, Out of Turn)	No	Your character must have purchased the Reflect Talent to benefit from this talent. Your character may use reflect while wielding a melee weapon deemed appropriate by the GM. When reflecting a hit that generated [DE] or [TH][TH][TH] may hit one target in medium range with the same damage as the initial hit, after original attack resolves.	FBGR, FCRB	Reflect (Improved)	
Resourceful Refit	3	Active (Action)	No	May perform the Resourceful Refit action, make an Average (◆◆) Mechanics check to scavenge an old attachment to construct a new one, reducing its price by that of the dismantled attachment.	SM	Resourceful Refit	
Scathing Tirade (Improved)	3	Passive	No	Your character must have purchased the Scathing Tirade talent to benefit from this talent. Enemies affected by your character’s Scathing Tirade add [SE] to all skill checks they make for a number of rounds equal to your character’s ranks in Coercion.	GCRB	Scathing Tirade (Improved)	
Seize the Initiative	3	Active (Maneuver)	No	Once per session, as a maneuver, may make a Hard (◆◆◆) Athletics check. On success, other PCs may take their turns immediately.	FIB	Seize the Initiative	
Sense Advantage	3	Active (Incidental, Out of Turn)	No	Once per session, may add [SE][SE] to 1 NPC's skill check.	FBGR, FCRB	Sense Advantage	
Share Pain	3	Active (Incidental, Out of Turn)	No	May perform the Share Pain incidental when animal companion suffers wounds. Reduce wounds suffered to half, then character suffers wounds equal to number reduced.	FCRB	Share Pain	
Shockwave	3	Passive	No	Your character treats Melee (Heavy) weapons as possessing the Blast item quality with a rating equal to your character’s ranks in Melee (Heavy). Your character does not suffer damage from their weapon's Blast quality (but allies do!).	ROT	Shockwave	
Shortcut (Improved)	3	Passive	No	Your character must have purchased the Shortcut talent to benefit from this talent. When engaging in a chase or race, may suffer 2 strain to add [SU] equal to ranks in Shortcut to the check.	ND, EV, SS	Shortcut (Improved)	
Skilled Teacher	3	Active (Incidental, Out of Turn)	Yes	Before an ally within short range makes a skill check, if that ally has fewer ranks in that skill than your character does, your character may suffer a number of strain no greater than ranks in Skilled Teacher to add an equal number of [SU] to the ally’s check.	DOH	Skilled Teacher	
Smart Handling	3	Active (Action)	No	Once per session, while aboard a ship of silhouette 4 or higher, your character may make a Smart Handling action; making a Hard (◆◆◆) Knowledge check. If successful, until the start of the next round, the ship’s handling increases by two plus one per [AD] scored on the check to a maximum handling of +4. [TR] can be spent to extend the effect until the end of the encounter.	FO	Smart Handling	
Sound Investments	3	Passive	Yes	At the start of each session, gain 100 money units for each rank of Sound Investments.	ACRB, FH	Sound Investments	
Spur	3	Active (Action)	No	Take a Spur action; make a Hard (◆◆◆) Riding check to increase a beast's top speed by 1. The beast suffers 2 strain every round it stays spurred.	SOT	Spur	
Studious Plotting	3	Passive	No	When making a Streetwise or Survival skill check to navigate, the character may use Intellect instead of Cunning.	SS	Studious Plotting	
Stunning Blow (Improved)	3	Active (Incidental)	No	Your character must have purchased the Stunning Blow talent to benefit from this talent. When dealing strain damage with Melee or Brawl checks, may spend [TR] to stagger target for 1 round per [TR].	ACRB, ECRB	Stunning Blow (Improved)	
Sunder Expertise	3	Passive	No	Each [AD] your character spends to activate a weapon's Sunder quality damages the target item two steps, instead of one.	DOH	Sunder (Improved)	
Time to Go (Improved)	3	Active (Maneuver)	No	Your character must have purchased the Time to Go talent to benefit from this talent. When activating Time to Go, allow 1 engaged ally to also perform an out of turn Move maneuver as an incidental to attempt to move into cover or out of the blast range of a weapon or explosion.	ACRB, DC	Time to Go (Improved)	
Tricky Target	3	Passive	No	Count vehicle or starship piloted as having a silhouette 1 lower when being attacked.	ABGR, ACRB, ECRB, FCRB	Tricky Target	
Trust the Captain	3	Active (Action)	Yes	Make a Hard (◆◆◆) Leadership check. If successful, for the rest of the encounter allies within short range increase their ranks in Discipline by an amount equal to ranks in Trust the Captain.	DOR	Trust the Captain	
Tuned Maneuvering Thrusters	3	Passive	Yes	Your character must have purchased the Signature Vehicle talent to benefit from this talent. Increase the handling of Signature Vehicle by 1 per rank of Tuned Maneuvering Thrusters.	SOT	Tuned Maneuvering Thrusters	
Twisted Words	3	Active (Incidental, Out of Turn)	No	When an incoming social check generates [TH][TH] or [DE], may suffer 1 strain as an incidental to inflict strain equal to ranks in Coercion on speaker.	DA	Twisted Words	
Up the Ante	3	Passive	Yes	When gambling win 10% more credits per rank of Up the Ante.	FC	Up the Ante	
Utility Belt	3	Active (Incidental)	No	Spend 1 Story Point to perform a Utility Belt incidental; produce an undocumented item (maximum 1 encumbrance) or weapon (with Limited Ammo One quality) from a tool belt or a satchel.	ACRB, ECRB	Utility Belt	
Valuable Facts	3	Active (Action)	No	Once per encounter, perform a Valuable Facts action: make an Average (◆◆) Knowledge check. If successful, add [TR] to one ally's skill check during the encounter.	DA, FBGR, FCRB	Valuable Facts	
Well Rounded	3	Passive	No	Choose any 2 non-magic skills. They permanently become career skills.	ACRB, EBGR, ECRB, FBGR, FCRB	Well Rounded	
Armor Master (Improved)	4	Passive	No	Your character must have purchased the Armor Master talent to benefit from this talent. When wearing armor with a soak value of 2 or higher, increase defense by 1.	ACRB, ECRB, KTP	Armor Master (Improved)	
Back-to-Back	4	Passive	No	While engaged with one or more allies, your character and allies they are engaged with add B to combat checks. If one or more allies engaged with your character also have Back-to-Back, the effects are cumulative to a maximum of [BO][BO].	ROT	Back-to-Back	
Better Luck Next Time	4	Active (Action)	No	Take a Better Luck Next Time action; make a Hard (◆◆◆) Cool check to force a competitor to suffer a major misfortune.	EV	Better Luck Next Time	
Body Guard (Improved)	4	Passive	No	Your character must have purchased the Body Guard talent to benefit from this talent. Once per session, when an ally protected by the Body Guard maneuver suffers a hit, suffer the hit instead.	LBE, FIB, EBGR, FCRB	Body Guard (Improved)	
Bolstered Armor	4	Passive	Yes	Your character must have purchased the Signature Vehicle talent to benefit from this talent. Increase the armor value of Signature Vehicle by 1 per rank of Bolstered Armor.	SOT	Bolstered Armor	
Brilliant Evasion	4	Active (Action)	No	Once per vehicle encounter, your character may take Brilliant Evasion action. Select 1 opponent and make Opposed Driving or Piloting check to stop opponent from attacking character for rounds equal to Agility.	ACRB, ECRB	Brilliant Evasion	
By the Book	4	Active (Incidental)	Yes	Once per encounter, before making a combat check, suffer 2 strain to add [AD] to the results equal to ranks in By the Book.	DOR	By the Book	
Can’t We Talk About This?	4	Active (Action)	No	Your character can use this talent to make an opposed Charm or Deception versus Discipline check targeting a single non-nemesis adversary within medium range. If the check succeeds, the target cannot attack your character (or perform hostile actions against your character) until the end of their next turn. You may spend [AD][AD] to increase the length of the effect by one additional turn, and spend [TR] to extend the benefits to all of their identified allies within short range. The effect ends immediately if your character or a known ally attacks the target. In addition, your GM may rule that some targets are immune to this ability. An automated sentry turret, for example, has no interest in resolving a conflict through talking, nor would someone consumed by rage and the desire for revenge against your character.	GCRB	Can’t We Talk About This?	
Capital Sendoff (Improved)	4	Passive	No	Your character must have purchased the Capital Sendoff talent to benefit from this talent. When performing a Capital Sendoff, the targets suffer a major collision instead.	SOT	Corellian Sendoff (Improved)	
Careful Planning	4	Active (Action)	No	Once per session, may introduce a "fact" into the narrative as if a Story Point had been spent.	ACRB, KTP	Careful Planning	
Center of Being (Improved)	4	Passive	No	Suffer 1 Strain to use a Center of Being maneuver as an incidental.	FCRB	Center of Being (Improved)	
Commanding Presence	4	Passive	No	Once per session, may take Commanding Presence action; make an opposed Cool vs. Discipline check to force target to leave the encounter.	LBE	Commanding Presence (Improved)	
Comrades in Arms	4	Active (Action)	No	Once per encounter, make a Hard (◆◆◆) Discipline Check. If successful, your character plus one ally per [SU] within medium range gains +1 defense for the remainder of the encounter. Effects end if affected targets move beyond medium range.	DOR	Comrades in Arms	
Conduit	4	Active (Maneuver)	No	Once per encounter, your character may spend a Story Point to perform a magic action as a maneuver.	ROT	Conduit	
Deadeye	4	Active (Incidental)	No	After your character inflicts a Critical Injury with a ranged weapon and rolls the result, your character may suffer 2 strain to use this talent. Then, you may select any Critical Injury of the same severity to apply to the target instead.	GCRB	Deadeye	
Deadly Accuracy	4	Passive	Yes	When acquired, choose 1 combat skill. Add damage equal to ranks in that skill to one hit of successful attack made using that skill. May not choose the same skill more than once.	ABGR, ACRB, ECRB	Deadly Accuracy	
